"","parameter","index","simulation_value","IQR_min","IQR50_lower","IQR50_upper","mean","median","sd","n_series","n_observations","mean_IQR","mean_sd","model"
"792","sigma","17",0.25,1,0.985490968478511,1.11058595286542,1.04915528073588,1.04457827990089,0.0963373629371554,20,5,1,0.0963373629371554,"non_pooled"
"793","sigma","18",0.25,1,0.985490968478511,1.11058595286542,1.04915528073588,1.04457827990089,0.0963373629371554,20,5,1,0.0963373629371554,"non_pooled"
"794","sigma","19",0.25,1,0.985490968478511,1.11058595286542,1.04915528073588,1.04457827990089,0.0963373629371554,20,5,1,0.0963373629371554,"non_pooled"
"795","sigma","20",0.25,1,0.985490968478511,1.11058595286542,1.04915528073588,1.04457827990089,0.0963373629371554,20,5,1,0.0963373629371554,"non_pooled"
"796","rho","1",2.83684517940916,0.77,1.78618412664465,2.47038547892272,2.18527178508353,2.09402665475303,0.620914777171081,20,5,0.6475,0.554695961785289,"partially"
"797","rho","2",2.44805677429975,0.45,1.78543767327354,2.49995904470969,2.19906819149421,2.10035104146235,0.60075016418806,20,5,0.6475,0.554695961785289,"partially"
"798","rho","3",2.95806312221323,0.88,1.7515968114427,2.35612179751986,2.09557481095232,2.02122483990982,0.509425320321514,20,5,0.6475,0.554695961785289,"partially"
"799","rho","4",2.49401689919212,0.62,1.79379248837803,2.38371953601951,2.1300682479959,2.05932747020721,0.48267919606473,20,5,0.6475,0.554695961785289,"partially"
"800","rho","5",2.12034519069175,0.22,1.70699834671448,2.34695525539914,2.08054256039622,1.99997292918924,0.517354415582711,20,5,0.6475,0.554695961785289,"partially"
"801","rho","6",2.35008460141007,0.27,1.82589129084996,2.56683606654937,2.25468312486164,2.16426554616192,0.596595860443878,20,5,0.6475,0.554695961785289,"partially"
"802","rho","7",2.71453481622613,0.85,1.7256261755201,2.30326777647613,2.04533090498964,1.97774727532421,0.465680605127122,20,5,0.6475,0.554695961785289,"partially"
"803","rho","8",3.11152199674083,0.97,1.69214416189095,2.25224001914247,2.00508832080638,1.93732078142242,0.439386036524769,20,5,0.6475,0.554695961785289,"partially"
"804","rho","9",2.39189798256476,0.45,1.77946920084394,2.43842351559075,2.16134126181598,2.06952251296672,0.577299780593645,20,5,0.6475,0.554695961785289,"partially"
"805","rho","10",3.13651081566584,0.92,1.79266670163155,2.41309300513609,2.14004089952237,2.05052272971149,0.515968798703795,20,5,0.6475,0.554695961785289,"partially"
"806","rho","11",2.25997627625255,0.57,1.63247157872335,2.2142097080801,1.96808271246403,1.88904744196973,0.480564366697873,20,5,0.6475,0.554695961785289,"partially"
"807","rho","12",2.81026147169677,0.67,1.85972260897172,2.59382012349072,2.29889901631477,2.21730755047761,0.632923824899355,20,5,0.6475,0.554695961785289,"partially"
"808","rho","13",2.75980709463202,0.79,1.77165396117406,2.41921707985628,2.12846329148449,2.06071908076825,0.496294703473372,20,5,0.6475,0.554695961785289,"partially"
"809","rho","14",3.26918952896685,0.91,1.83897912586078,2.51121785982416,2.22911592907045,2.14818611650764,0.552954303728179,20,5,0.6475,0.554695961785289,"partially"
"810","rho","15",3.15229700847257,0.8,1.97578345391074,2.72894531883811,2.39766064415361,2.31337729518369,0.603119378312844,20,5,0.6475,0.554695961785289,"partially"
"811","rho","16",2.02268174672782,0.25,1.86314497122421,2.58701753183349,2.28877156827077,2.18724029180906,0.619086687209144,20,5,0.6475,0.554695961785289,"partially"
"812","rho","17",2.73294956085356,0.62,1.82298844667178,2.5811596577947,2.27760615751792,2.16597526289522,0.653051875138789,20,5,0.6475,0.554695961785289,"partially"
"813","rho","18",2.80274890951975,0.83,1.75404764348206,2.39080455892905,2.11535003131201,2.06431153691089,0.503551772905761,20,5,0.6475,0.554695961785289,"partially"
"814","rho","19",2.05016985070529,0.2,1.86953930911649,2.57213862476417,2.27167618929902,2.16416659595997,0.573244252905292,20,5,0.6475,0.554695961785289,"partially"
"815","rho","20",3.46706260585109,0.91,1.84042952817643,2.56900381236754,2.28421793602123,2.17976127676614,0.65307311571387,20,5,0.6475,0.554695961785289,"partially"
