"","parameter","index","simulation_value","IQR","n_series","n_observations","mean_IQR","model"
"3779","sigma","19",0.201310775054496,0.05,20,30,0.531,"partially"
"3780","sigma","20",0.266261373632022,0.01,20,30,0.531,"partially"
"3781","mu","1",-0.339691492934443,1,20,35,0.9585,"pooled"
"3782","mu","2",-0.50946458095179,1,20,35,0.9585,"pooled"
"3783","mu","3",0.270361415460287,1,20,35,0.9585,"pooled"
"3784","mu","4",-0.287997143240387,1,20,35,0.9585,"pooled"
"3785","mu","5",-0.0283523853660617,0.73,20,35,0.9585,"pooled"
"3786","mu","6",-0.0460706687372512,0.47,20,35,0.9585,"pooled"
"3787","mu","7",0.055426629646549,1,20,35,0.9585,"pooled"
"3788","mu","8",0.344047065295804,1,20,35,0.9585,"pooled"
"3789","mu","9",-0.170266991150296,1,20,35,0.9585,"pooled"
"3790","mu","10",-0.526780888762838,1,20,35,0.9585,"pooled"
"3791","mu","11",-0.417090559368244,1,20,35,0.9585,"pooled"
"3792","mu","12",-0.746166928487218,1,20,35,0.9585,"pooled"
"3793","mu","13",0.288358690507285,1,20,35,0.9585,"pooled"
"3794","mu","14",-0.395720958462488,1,20,35,0.9585,"pooled"
"3795","mu","15",0.263502397602548,1,20,35,0.9585,"pooled"
"3796","mu","16",-0.363148848991709,1,20,35,0.9585,"pooled"
"3797","mu","17",0.236861598371163,1,20,35,0.9585,"pooled"
"3798","mu","18",-0.168715712997231,0.99,20,35,0.9585,"pooled"
"3799","mu","19",0.0131762440329138,0.98,20,35,0.9585,"pooled"
"3800","mu","20",0.23535987717993,1,20,35,0.9585,"pooled"
"3801","lambda","1",0.549139857824836,1,20,35,1,"pooled"
"3802","lambda","2",0.550758858477596,1,20,35,1,"pooled"
"3803","lambda","3",0.513504274819187,1,20,35,1,"pooled"
"3804","lambda","4",0.608212477027756,1,20,35,1,"pooled"
"3805","lambda","5",0.545129853948938,1,20,35,1,"pooled"
"3806","lambda","6",0.797110067148785,1,20,35,1,"pooled"
"3807","lambda","7",0.457942078083968,1,20,35,1,"pooled"
"3808","lambda","8",0.521268745656858,1,20,35,1,"pooled"
"3809","lambda","9",0.724749743959567,1,20,35,1,"pooled"
"3810","lambda","10",0.602752351615199,1,20,35,1,"pooled"
"3811","lambda","11",0.771325459496845,1,20,35,1,"pooled"
"3812","lambda","12",0.453858985248819,1,20,35,1,"pooled"
"3813","lambda","13",0.51687888575751,1,20,35,1,"pooled"
"3814","lambda","14",0.473574458659932,1,20,35,1,"pooled"
"3815","lambda","15",0.546067056044692,1,20,35,1,"pooled"
"3816","lambda","16",0.434456643748266,1,20,35,1,"pooled"
"3817","lambda","17",0.556691752367808,1,20,35,1,"pooled"
"3818","lambda","18",0.545029261199035,1,20,35,1,"pooled"
"3819","lambda","19",0.372638679580432,1,20,35,1,"pooled"
"3820","lambda","20",0.375298680774275,1,20,35,1,"pooled"
"3821","sigma","1",0.197296757139175,1,20,35,0.926,"pooled"
"3822","sigma","2",0.193039992655029,1,20,35,0.926,"pooled"
"3823","sigma","3",0.259587084019733,1,20,35,0.926,"pooled"
"3824","sigma","4",0.301440600614085,1,20,35,0.926,"pooled"
"3825","sigma","5",0.178055391285221,1,20,35,0.926,"pooled"
"3826","sigma","6",-0.013823356925231,1,20,35,0.926,"pooled"
"3827","sigma","7",0.226114450968266,1,20,35,0.926,"pooled"
"3828","sigma","8",0.197229094218408,1,20,35,0.926,"pooled"
"3829","sigma","9",0.40272026466978,1,20,35,0.926,"pooled"
"3830","sigma","10",0.125047358198713,0.1,20,35,0.926,"pooled"
"3831","sigma","11",0.241790890150008,1,20,35,0.926,"pooled"
"3832","sigma","12",0.152921310482789,1,20,35,0.926,"pooled"
"3833","sigma","13",0.155289294488342,1,20,35,0.926,"pooled"
"3834","sigma","14",0.359755113739171,1,20,35,0.926,"pooled"
"3835","sigma","15",0.118327910406151,0.42,20,35,0.926,"pooled"
"3836","sigma","16",0.0764653449299544,1,20,35,0.926,"pooled"
"3837","sigma","17",0.0299374616806494,1,20,35,0.926,"pooled"
"3838","sigma","18",0.410543698861467,1,20,35,0.926,"pooled"
"3839","sigma","19",0.201310775054496,1,20,35,0.926,"pooled"
"3840","sigma","20",0.266261373632022,1,20,35,0.926,"pooled"
"3841","mu","1",-0.339691492934443,0.07,20,35,0.594,"non_pooled"
"3842","mu","2",-0.50946458095179,0.76,20,35,0.594,"non_pooled"
"3843","mu","3",0.270361415460287,0.73,20,35,0.594,"non_pooled"
"3844","mu","4",-0.287997143240387,0.97,20,35,0.594,"non_pooled"
"3845","mu","5",-0.0283523853660617,0.05,20,35,0.594,"non_pooled"
"3846","mu","6",-0.0460706687372512,0.07,20,35,0.594,"non_pooled"
"3847","mu","7",0.055426629646549,0.77,20,35,0.594,"non_pooled"
"3848","mu","8",0.344047065295804,0.72,20,35,0.594,"non_pooled"
"3849","mu","9",-0.170266991150296,0.3,20,35,0.594,"non_pooled"
"3850","mu","10",-0.526780888762838,0.13,20,35,0.594,"non_pooled"
"3851","mu","11",-0.417090559368244,0.69,20,35,0.594,"non_pooled"
"3852","mu","12",-0.746166928487218,0.26,20,35,0.594,"non_pooled"
"3853","mu","13",0.288358690507285,0.7,20,35,0.594,"non_pooled"
"3854","mu","14",-0.395720958462488,0.81,20,35,0.594,"non_pooled"
"3855","mu","15",0.263502397602548,0.93,20,35,0.594,"non_pooled"
"3856","mu","16",-0.363148848991709,0.96,20,35,0.594,"non_pooled"
"3857","mu","17",0.236861598371163,1,20,35,0.594,"non_pooled"
"3858","mu","18",-0.168715712997231,0.86,20,35,0.594,"non_pooled"
"3859","mu","19",0.0131762440329138,0.21,20,35,0.594,"non_pooled"
"3860","mu","20",0.23535987717993,0.89,20,35,0.594,"non_pooled"
"3861","lambda","1",0.549139857824836,0.59,20,35,0.3265,"non_pooled"
"3862","lambda","2",0.550758858477596,0.48,20,35,0.3265,"non_pooled"
"3863","lambda","3",0.513504274819187,0.05,20,35,0.3265,"non_pooled"
"3864","lambda","4",0.608212477027756,0.41,20,35,0.3265,"non_pooled"
"3865","lambda","5",0.545129853948938,0.3,20,35,0.3265,"non_pooled"
"3866","lambda","6",0.797110067148785,0.14,20,35,0.3265,"non_pooled"
"3867","lambda","7",0.457942078083968,0.15,20,35,0.3265,"non_pooled"
"3868","lambda","8",0.521268745656858,0.21,20,35,0.3265,"non_pooled"
"3869","lambda","9",0.724749743959567,0.26,20,35,0.3265,"non_pooled"
"3870","lambda","10",0.602752351615199,0.44,20,35,0.3265,"non_pooled"
"3871","lambda","11",0.771325459496845,0.22,20,35,0.3265,"non_pooled"
"3872","lambda","12",0.453858985248819,0.3,20,35,0.3265,"non_pooled"
"3873","lambda","13",0.51687888575751,0.2,20,35,0.3265,"non_pooled"
"3874","lambda","14",0.473574458659932,0.64,20,35,0.3265,"non_pooled"
"3875","lambda","15",0.546067056044692,0.88,20,35,0.3265,"non_pooled"
"3876","lambda","16",0.434456643748266,0.64,20,35,0.3265,"non_pooled"
"3877","lambda","17",0.556691752367808,0.29,20,35,0.3265,"non_pooled"
"3878","lambda","18",0.545029261199035,0.16,20,35,0.3265,"non_pooled"
"3879","lambda","19",0.372638679580432,0.16,20,35,0.3265,"non_pooled"
"3880","lambda","20",0.375298680774275,0.01,20,35,0.3265,"non_pooled"
"3881","sigma","1",0.197296757139175,0.94,20,35,0.545,"non_pooled"
"3882","sigma","2",0.193039992655029,0.15,20,35,0.545,"non_pooled"
"3883","sigma","3",0.259587084019733,0.69,20,35,0.545,"non_pooled"
"3884","sigma","4",0.301440600614085,0.15,20,35,0.545,"non_pooled"
"3885","sigma","5",0.178055391285221,0.87,20,35,0.545,"non_pooled"
"3886","sigma","6",-0.013823356925231,1,20,35,0.545,"non_pooled"
"3887","sigma","7",0.226114450968266,0.01,20,35,0.545,"non_pooled"
"3888","sigma","8",0.197229094218408,0.42,20,35,0.545,"non_pooled"
"3889","sigma","9",0.40272026466978,0.35,20,35,0.545,"non_pooled"
"3890","sigma","10",0.125047358198713,0.47,20,35,0.545,"non_pooled"
"3891","sigma","11",0.241790890150008,0.09,20,35,0.545,"non_pooled"
"3892","sigma","12",0.152921310482789,0.78,20,35,0.545,"non_pooled"
"3893","sigma","13",0.155289294488342,0.72,20,35,0.545,"non_pooled"
"3894","sigma","14",0.359755113739171,0.5,20,35,0.545,"non_pooled"
"3895","sigma","15",0.118327910406151,0.95,20,35,0.545,"non_pooled"
"3896","sigma","16",0.0764653449299544,0.51,20,35,0.545,"non_pooled"
"3897","sigma","17",0.0299374616806494,0.86,20,35,0.545,"non_pooled"
"3898","sigma","18",0.410543698861467,0.14,20,35,0.545,"non_pooled"
"3899","sigma","19",0.201310775054496,0.78,20,35,0.545,"non_pooled"
"3900","sigma","20",0.266261373632022,0.52,20,35,0.545,"non_pooled"
"3901","mu","1",-0.339691492934443,0.15,20,35,0.5665,"partially"
"3902","mu","2",-0.50946458095179,0.63,20,35,0.5665,"partially"
"3903","mu","3",0.270361415460287,0.57,20,35,0.5665,"partially"
"3904","mu","4",-0.287997143240387,0.96,20,35,0.5665,"partially"
"3905","mu","5",-0.0283523853660617,0.13,20,35,0.5665,"partially"
"3906","mu","6",-0.0460706687372512,0.04,20,35,0.5665,"partially"
"3907","mu","7",0.055426629646549,0.76,20,35,0.5665,"partially"
"3908","mu","8",0.344047065295804,0.77,20,35,0.5665,"partially"
"3909","mu","9",-0.170266991150296,0.31,20,35,0.5665,"partially"
"3910","mu","10",-0.526780888762838,0.23,20,35,0.5665,"partially"
"3911","mu","11",-0.417090559368244,0.5,20,35,0.5665,"partially"
"3912","mu","12",-0.746166928487218,0.08,20,35,0.5665,"partially"
"3913","mu","13",0.288358690507285,0.8,20,35,0.5665,"partially"
"3914","mu","14",-0.395720958462488,0.83,20,35,0.5665,"partially"
"3915","mu","15",0.263502397602548,0.78,20,35,0.5665,"partially"
"3916","mu","16",-0.363148848991709,0.89,20,35,0.5665,"partially"
"3917","mu","17",0.236861598371163,0.98,20,35,0.5665,"partially"
"3918","mu","18",-0.168715712997231,0.85,20,35,0.5665,"partially"
"3919","mu","19",0.0131762440329138,0.28,20,35,0.5665,"partially"
"3920","mu","20",0.23535987717993,0.79,20,35,0.5665,"partially"
"3921","lambda","1",0.549139857824836,0.83,20,35,0.424,"partially"
"3922","lambda","2",0.550758858477596,0.24,20,35,0.424,"partially"
"3923","lambda","3",0.513504274819187,0.53,20,35,0.424,"partially"
"3924","lambda","4",0.608212477027756,0.49,20,35,0.424,"partially"
"3925","lambda","5",0.545129853948938,0.71,20,35,0.424,"partially"
"3926","lambda","6",0.797110067148785,0.82,20,35,0.424,"partially"
"3927","lambda","7",0.457942078083968,0.23,20,35,0.424,"partially"
"3928","lambda","8",0.521268745656858,0.41,20,35,0.424,"partially"
"3929","lambda","9",0.724749743959567,0.58,20,35,0.424,"partially"
"3930","lambda","10",0.602752351615199,0.39,20,35,0.424,"partially"
"3931","lambda","11",0.771325459496845,0.56,20,35,0.424,"partially"
"3932","lambda","12",0.453858985248819,0.2,20,35,0.424,"partially"
"3933","lambda","13",0.51687888575751,0.61,20,35,0.424,"partially"
"3934","lambda","14",0.473574458659932,0.04,20,35,0.424,"partially"
"3935","lambda","15",0.546067056044692,0.27,20,35,0.424,"partially"
"3936","lambda","16",0.434456643748266,0.27,20,35,0.424,"partially"
"3937","lambda","17",0.556691752367808,0.38,20,35,0.424,"partially"
"3938","lambda","18",0.545029261199035,0.72,20,35,0.424,"partially"
"3939","lambda","19",0.372638679580432,0.03,20,35,0.424,"partially"
"3940","lambda","20",0.375298680774275,0.17,20,35,0.424,"partially"
"3941","sigma","1",0.197296757139175,0.93,20,35,0.626,"partially"
"3942","sigma","2",0.193039992655029,0.08,20,35,0.626,"partially"
"3943","sigma","3",0.259587084019733,0.85,20,35,0.626,"partially"
"3944","sigma","4",0.301440600614085,0.64,20,35,0.626,"partially"
"3945","sigma","5",0.178055391285221,0.9,20,35,0.626,"partially"
"3946","sigma","6",-0.013823356925231,1,20,35,0.626,"partially"
"3947","sigma","7",0.226114450968266,0.29,20,35,0.626,"partially"
"3948","sigma","8",0.197229094218408,0.15,20,35,0.626,"partially"
"3949","sigma","9",0.40272026466978,0.95,20,35,0.626,"partially"
"3950","sigma","10",0.125047358198713,0.46,20,35,0.626,"partially"
"3951","sigma","11",0.241790890150008,0.36,20,35,0.626,"partially"
"3952","sigma","12",0.152921310482789,0.66,20,35,0.626,"partially"
"3953","sigma","13",0.155289294488342,0.61,20,35,0.626,"partially"
"3954","sigma","14",0.359755113739171,0.66,20,35,0.626,"partially"
"3955","sigma","15",0.118327910406151,0.96,20,35,0.626,"partially"
"3956","sigma","16",0.0764653449299544,0.56,20,35,0.626,"partially"
"3957","sigma","17",0.0299374616806494,0.91,20,35,0.626,"partially"
"3958","sigma","18",0.410543698861467,0.94,20,35,0.626,"partially"
"3959","sigma","19",0.201310775054496,0.5,20,35,0.626,"partially"
"3960","sigma","20",0.266261373632022,0.11,20,35,0.626,"partially"
"3961","mu","1",-0.339691492934443,1,20,40,0.908,"pooled"
"3962","mu","2",-0.50946458095179,1,20,40,0.908,"pooled"
"3963","mu","3",0.270361415460287,1,20,40,0.908,"pooled"
"3964","mu","4",-0.287997143240387,1,20,40,0.908,"pooled"
"3965","mu","5",-0.0283523853660617,0.14,20,40,0.908,"pooled"
"3966","mu","6",-0.0460706687372512,0.24,20,40,0.908,"pooled"
"3967","mu","7",0.055426629646549,0.99,20,40,0.908,"pooled"
"3968","mu","8",0.344047065295804,1,20,40,0.908,"pooled"
"3969","mu","9",-0.170266991150296,1,20,40,0.908,"pooled"
"3970","mu","10",-0.526780888762838,1,20,40,0.908,"pooled"
"3971","mu","11",-0.417090559368244,1,20,40,0.908,"pooled"
"3972","mu","12",-0.746166928487218,1,20,40,0.908,"pooled"
"3973","mu","13",0.288358690507285,1,20,40,0.908,"pooled"
"3974","mu","14",-0.395720958462488,1,20,40,0.908,"pooled"
"3975","mu","15",0.263502397602548,1,20,40,0.908,"pooled"
"3976","mu","16",-0.363148848991709,1,20,40,0.908,"pooled"
"3977","mu","17",0.236861598371163,1,20,40,0.908,"pooled"
"3978","mu","18",-0.168715712997231,1,20,40,0.908,"pooled"
"3979","mu","19",0.0131762440329138,0.79,20,40,0.908,"pooled"
"3980","mu","20",0.23535987717993,1,20,40,0.908,"pooled"
"3981","lambda","1",0.549139857824836,1,20,40,1,"pooled"
"3982","lambda","2",0.550758858477596,1,20,40,1,"pooled"
"3983","lambda","3",0.513504274819187,1,20,40,1,"pooled"
"3984","lambda","4",0.608212477027756,1,20,40,1,"pooled"
"3985","lambda","5",0.545129853948938,1,20,40,1,"pooled"
"3986","lambda","6",0.797110067148785,1,20,40,1,"pooled"
"3987","lambda","7",0.457942078083968,1,20,40,1,"pooled"
"3988","lambda","8",0.521268745656858,1,20,40,1,"pooled"
"3989","lambda","9",0.724749743959567,1,20,40,1,"pooled"
"3990","lambda","10",0.602752351615199,1,20,40,1,"pooled"
"3991","lambda","11",0.771325459496845,1,20,40,1,"pooled"
"3992","lambda","12",0.453858985248819,1,20,40,1,"pooled"
"3993","lambda","13",0.51687888575751,1,20,40,1,"pooled"
"3994","lambda","14",0.473574458659932,1,20,40,1,"pooled"
"3995","lambda","15",0.546067056044692,1,20,40,1,"pooled"
"3996","lambda","16",0.434456643748266,1,20,40,1,"pooled"
"3997","lambda","17",0.556691752367808,1,20,40,1,"pooled"
"3998","lambda","18",0.545029261199035,1,20,40,1,"pooled"
"3999","lambda","19",0.372638679580432,1,20,40,1,"pooled"
"4000","lambda","20",0.375298680774275,1,20,40,1,"pooled"
"4001","sigma","1",0.197296757139175,1,20,40,0.9665,"pooled"
"4002","sigma","2",0.193039992655029,1,20,40,0.9665,"pooled"
"4003","sigma","3",0.259587084019733,1,20,40,0.9665,"pooled"
"4004","sigma","4",0.301440600614085,1,20,40,0.9665,"pooled"
"4005","sigma","5",0.178055391285221,1,20,40,0.9665,"pooled"
"4006","sigma","6",-0.013823356925231,1,20,40,0.9665,"pooled"
"4007","sigma","7",0.226114450968266,1,20,40,0.9665,"pooled"
"4008","sigma","8",0.197229094218408,1,20,40,0.9665,"pooled"
"4009","sigma","9",0.40272026466978,1,20,40,0.9665,"pooled"
"4010","sigma","10",0.125047358198713,0.81,20,40,0.9665,"pooled"
"4011","sigma","11",0.241790890150008,1,20,40,0.9665,"pooled"
"4012","sigma","12",0.152921310482789,0.75,20,40,0.9665,"pooled"
"4013","sigma","13",0.155289294488342,0.82,20,40,0.9665,"pooled"
"4014","sigma","14",0.359755113739171,1,20,40,0.9665,"pooled"
"4015","sigma","15",0.118327910406151,0.95,20,40,0.9665,"pooled"
"4016","sigma","16",0.0764653449299544,1,20,40,0.9665,"pooled"
"4017","sigma","17",0.0299374616806494,1,20,40,0.9665,"pooled"
"4018","sigma","18",0.410543698861467,1,20,40,0.9665,"pooled"
"4019","sigma","19",0.201310775054496,1,20,40,0.9665,"pooled"
"4020","sigma","20",0.266261373632022,1,20,40,0.9665,"pooled"
"4021","mu","1",-0.339691492934443,0.14,20,40,0.5885,"non_pooled"
"4022","mu","2",-0.50946458095179,0.77,20,40,0.5885,"non_pooled"
"4023","mu","3",0.270361415460287,0.95,20,40,0.5885,"non_pooled"
"4024","mu","4",-0.287997143240387,0.89,20,40,0.5885,"non_pooled"
"4025","mu","5",-0.0283523853660617,0.13,20,40,0.5885,"non_pooled"
"4026","mu","6",-0.0460706687372512,0.13,20,40,0.5885,"non_pooled"
"4027","mu","7",0.055426629646549,0.52,20,40,0.5885,"non_pooled"
"4028","mu","8",0.344047065295804,0.72,20,40,0.5885,"non_pooled"
"4029","mu","9",-0.170266991150296,0.46,20,40,0.5885,"non_pooled"
"4030","mu","10",-0.526780888762838,0.91,20,40,0.5885,"non_pooled"
"4031","mu","11",-0.417090559368244,0.02,20,40,0.5885,"non_pooled"
"4032","mu","12",-0.746166928487218,0.93,20,40,0.5885,"non_pooled"
"4033","mu","13",0.288358690507285,0.94,20,40,0.5885,"non_pooled"
"4034","mu","14",-0.395720958462488,0.73,20,40,0.5885,"non_pooled"
"4035","mu","15",0.263502397602548,0.27,20,40,0.5885,"non_pooled"
"4036","mu","16",-0.363148848991709,0.69,20,40,0.5885,"non_pooled"
"4037","mu","17",0.236861598371163,0.19,20,40,0.5885,"non_pooled"
"4038","mu","18",-0.168715712997231,0.98,20,40,0.5885,"non_pooled"
"4039","mu","19",0.0131762440329138,0.76,20,40,0.5885,"non_pooled"
"4040","mu","20",0.23535987717993,0.64,20,40,0.5885,"non_pooled"
"4041","lambda","1",0.549139857824836,0.38,20,40,0.477,"non_pooled"
"4042","lambda","2",0.550758858477596,0.4,20,40,0.477,"non_pooled"
"4043","lambda","3",0.513504274819187,0.37,20,40,0.477,"non_pooled"
"4044","lambda","4",0.608212477027756,0.63,20,40,0.477,"non_pooled"
"4045","lambda","5",0.545129853948938,0.57,20,40,0.477,"non_pooled"
"4046","lambda","6",0.797110067148785,0.53,20,40,0.477,"non_pooled"
"4047","lambda","7",0.457942078083968,0.65,20,40,0.477,"non_pooled"
"4048","lambda","8",0.521268745656858,0.04,20,40,0.477,"non_pooled"
"4049","lambda","9",0.724749743959567,0.18,20,40,0.477,"non_pooled"
"4050","lambda","10",0.602752351615199,0.44,20,40,0.477,"non_pooled"
"4051","lambda","11",0.771325459496845,0.54,20,40,0.477,"non_pooled"
"4052","lambda","12",0.453858985248819,0.85,20,40,0.477,"non_pooled"
"4053","lambda","13",0.51687888575751,0.84,20,40,0.477,"non_pooled"
"4054","lambda","14",0.473574458659932,0.13,20,40,0.477,"non_pooled"
"4055","lambda","15",0.546067056044692,0.75,20,40,0.477,"non_pooled"
"4056","lambda","16",0.434456643748266,0.73,20,40,0.477,"non_pooled"
"4057","lambda","17",0.556691752367808,0.29,20,40,0.477,"non_pooled"
"4058","lambda","18",0.545029261199035,0.08,20,40,0.477,"non_pooled"
"4059","lambda","19",0.372638679580432,0.44,20,40,0.477,"non_pooled"
"4060","lambda","20",0.375298680774275,0.7,20,40,0.477,"non_pooled"
"4061","sigma","1",0.197296757139175,0.83,20,40,0.6265,"non_pooled"
"4062","sigma","2",0.193039992655029,0.6,20,40,0.6265,"non_pooled"
"4063","sigma","3",0.259587084019733,0.4,20,40,0.6265,"non_pooled"
"4064","sigma","4",0.301440600614085,0.2,20,40,0.6265,"non_pooled"
"4065","sigma","5",0.178055391285221,0.83,20,40,0.6265,"non_pooled"
"4066","sigma","6",-0.013823356925231,1,20,40,0.6265,"non_pooled"
"4067","sigma","7",0.226114450968266,0.38,20,40,0.6265,"non_pooled"
"4068","sigma","8",0.197229094218408,0.55,20,40,0.6265,"non_pooled"
"4069","sigma","9",0.40272026466978,0.31,20,40,0.6265,"non_pooled"
"4070","sigma","10",0.125047358198713,0.22,20,40,0.6265,"non_pooled"
"4071","sigma","11",0.241790890150008,0.37,20,40,0.6265,"non_pooled"
"4072","sigma","12",0.152921310482789,0.98,20,40,0.6265,"non_pooled"
"4073","sigma","13",0.155289294488342,0.98,20,40,0.6265,"non_pooled"
"4074","sigma","14",0.359755113739171,0.52,20,40,0.6265,"non_pooled"
"4075","sigma","15",0.118327910406151,0.98,20,40,0.6265,"non_pooled"
"4076","sigma","16",0.0764653449299544,0.94,20,40,0.6265,"non_pooled"
"4077","sigma","17",0.0299374616806494,0.87,20,40,0.6265,"non_pooled"
"4078","sigma","18",0.410543698861467,0.88,20,40,0.6265,"non_pooled"
"4079","sigma","19",0.201310775054496,0.08,20,40,0.6265,"non_pooled"
"4080","sigma","20",0.266261373632022,0.61,20,40,0.6265,"non_pooled"
"4081","mu","1",-0.339691492934443,0.15,20,40,0.5445,"partially"
"4082","mu","2",-0.50946458095179,0.54,20,40,0.5445,"partially"
"4083","mu","3",0.270361415460287,0.92,20,40,0.5445,"partially"
"4084","mu","4",-0.287997143240387,0.84,20,40,0.5445,"partially"
"4085","mu","5",-0.0283523853660617,0.18,20,40,0.5445,"partially"
"4086","mu","6",-0.0460706687372512,0.14,20,40,0.5445,"partially"
"4087","mu","7",0.055426629646549,0.48,20,40,0.5445,"partially"
"4088","mu","8",0.344047065295804,0.61,20,40,0.5445,"partially"
"4089","mu","9",-0.170266991150296,0.43,20,40,0.5445,"partially"
"4090","mu","10",-0.526780888762838,0.94,20,40,0.5445,"partially"
"4091","mu","11",-0.417090559368244,0.18,20,40,0.5445,"partially"
"4092","mu","12",-0.746166928487218,0.92,20,40,0.5445,"partially"
"4093","mu","13",0.288358690507285,0.83,20,40,0.5445,"partially"
"4094","mu","14",-0.395720958462488,0.54,20,40,0.5445,"partially"
"4095","mu","15",0.263502397602548,0.18,20,40,0.5445,"partially"
"4096","mu","16",-0.363148848991709,0.67,20,40,0.5445,"partially"
"4097","mu","17",0.236861598371163,0.14,20,40,0.5445,"partially"
"4098","mu","18",-0.168715712997231,0.97,20,40,0.5445,"partially"
"4099","mu","19",0.0131762440329138,0.76,20,40,0.5445,"partially"
"4100","mu","20",0.23535987717993,0.47,20,40,0.5445,"partially"
"4101","lambda","1",0.549139857824836,0.68,20,40,0.53,"partially"
"4102","lambda","2",0.550758858477596,0.39,20,40,0.53,"partially"
"4103","lambda","3",0.513504274819187,0.65,20,40,0.53,"partially"
"4104","lambda","4",0.608212477027756,0.24,20,40,0.53,"partially"
"4105","lambda","5",0.545129853948938,0.21,20,40,0.53,"partially"
"4106","lambda","6",0.797110067148785,0.92,20,40,0.53,"partially"
"4107","lambda","7",0.457942078083968,0.76,20,40,0.53,"partially"
"4108","lambda","8",0.521268745656858,0.5,20,40,0.53,"partially"
"4109","lambda","9",0.724749743959567,0.85,20,40,0.53,"partially"
"4110","lambda","10",0.602752351615199,0.84,20,40,0.53,"partially"
"4111","lambda","11",0.771325459496845,0.95,20,40,0.53,"partially"
"4112","lambda","12",0.453858985248819,0.32,20,40,0.53,"partially"
"4113","lambda","13",0.51687888575751,0.21,20,40,0.53,"partially"
"4114","lambda","14",0.473574458659932,0.53,20,40,0.53,"partially"
"4115","lambda","15",0.546067056044692,0.01,20,40,0.53,"partially"
"4116","lambda","16",0.434456643748266,0.32,20,40,0.53,"partially"
"4117","lambda","17",0.556691752367808,0.68,20,40,0.53,"partially"
"4118","lambda","18",0.545029261199035,0.71,20,40,0.53,"partially"
"4119","lambda","19",0.372638679580432,0.35,20,40,0.53,"partially"
"4120","lambda","20",0.375298680774275,0.48,20,40,0.53,"partially"
"4121","sigma","1",0.197296757139175,0.83,20,40,0.632,"partially"
"4122","sigma","2",0.193039992655029,0.49,20,40,0.632,"partially"
"4123","sigma","3",0.259587084019733,0.57,20,40,0.632,"partially"
"4124","sigma","4",0.301440600614085,0.65,20,40,0.632,"partially"
"4125","sigma","5",0.178055391285221,0.75,20,40,0.632,"partially"
"4126","sigma","6",-0.013823356925231,1,20,40,0.632,"partially"
"4127","sigma","7",0.226114450968266,0.19,20,40,0.632,"partially"
"4128","sigma","8",0.197229094218408,0.58,20,40,0.632,"partially"
"4129","sigma","9",0.40272026466978,0.9,20,40,0.632,"partially"
"4130","sigma","10",0.125047358198713,0.33,20,40,0.632,"partially"
"4131","sigma","11",0.241790890150008,0.04,20,40,0.632,"partially"
"4132","sigma","12",0.152921310482789,0.94,20,40,0.632,"partially"
"4133","sigma","13",0.155289294488342,0.96,20,40,0.632,"partially"
"4134","sigma","14",0.359755113739171,0.92,20,40,0.632,"partially"
"4135","sigma","15",0.118327910406151,0.98,20,40,0.632,"partially"
"4136","sigma","16",0.0764653449299544,0.96,20,40,0.632,"partially"
"4137","sigma","17",0.0299374616806494,0.92,20,40,0.632,"partially"
"4138","sigma","18",0.410543698861467,0.56,20,40,0.632,"partially"
"4139","sigma","19",0.201310775054496,0.03,20,40,0.632,"partially"
"4140","sigma","20",0.266261373632022,0.04,20,40,0.632,"partially"
"4141","mu","1",-0.339691492934443,1,20,45,0.9125,"pooled"
"4142","mu","2",-0.50946458095179,1,20,45,0.9125,"pooled"
"4143","mu","3",0.270361415460287,1,20,45,0.9125,"pooled"
"4144","mu","4",-0.287997143240387,1,20,45,0.9125,"pooled"
"4145","mu","5",-0.0283523853660617,0.06,20,45,0.9125,"pooled"
"4146","mu","6",-0.0460706687372512,0.42,20,45,0.9125,"pooled"
"4147","mu","7",0.055426629646549,0.99,20,45,0.9125,"pooled"
"4148","mu","8",0.344047065295804,1,20,45,0.9125,"pooled"
"4149","mu","9",-0.170266991150296,1,20,45,0.9125,"pooled"
"4150","mu","10",-0.526780888762838,1,20,45,0.9125,"pooled"
"4151","mu","11",-0.417090559368244,1,20,45,0.9125,"pooled"
"4152","mu","12",-0.746166928487218,1,20,45,0.9125,"pooled"
"4153","mu","13",0.288358690507285,1,20,45,0.9125,"pooled"
"4154","mu","14",-0.395720958462488,1,20,45,0.9125,"pooled"
"4155","mu","15",0.263502397602548,1,20,45,0.9125,"pooled"
"4156","mu","16",-0.363148848991709,1,20,45,0.9125,"pooled"
"4157","mu","17",0.236861598371163,1,20,45,0.9125,"pooled"
"4158","mu","18",-0.168715712997231,1,20,45,0.9125,"pooled"
"4159","mu","19",0.0131762440329138,0.78,20,45,0.9125,"pooled"
"4160","mu","20",0.23535987717993,1,20,45,0.9125,"pooled"
"4161","lambda","1",0.549139857824836,1,20,45,1,"pooled"
"4162","lambda","2",0.550758858477596,1,20,45,1,"pooled"
"4163","lambda","3",0.513504274819187,1,20,45,1,"pooled"
"4164","lambda","4",0.608212477027756,1,20,45,1,"pooled"
"4165","lambda","5",0.545129853948938,1,20,45,1,"pooled"
"4166","lambda","6",0.797110067148785,1,20,45,1,"pooled"
"4167","lambda","7",0.457942078083968,1,20,45,1,"pooled"
"4168","lambda","8",0.521268745656858,1,20,45,1,"pooled"
